Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
International Journal of Innovative Computing Information and Control,INT J INNOV COMPUT I,1349-4198,1.667,1.797,Artificial Intelligence,2010
International Journal on Semantic Web and Information Systems,INT J SEMANT WEB INF,1552-6283,1.679,Not Available,Artificial Intelligence,2010
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,0888-613X,1.684,1.720,Artificial Intelligence,2010
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES,1076-9757,1.691,1.979,Artificial Intelligence,2010
DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG,0169-023X,1.722,1.861,Artificial Intelligence,2010
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,1041-4347,1.851,2.899,Artificial Intelligence,2010
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,1.926,2.195,Artificial Intelligence,2010
MACHINE LEARNING,MACH LEARN,0885-6125,1.967,2.664,Artificial Intelligence,2010
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1.972,2.670,Artificial Intelligence,2010
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST,0219-1377,2.008,1.923,Artificial Intelligence,2010
AUTONOMOUS ROBOTS,AUTON ROBOT,0929-5593,2.033,2.291,Artificial Intelligence,2010
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,1568-4946,2.097,2.108,Artificial Intelligence,2010
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG,1387-2532,2.103,2.163,Artificial Intelligence,2010
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,IEEE T SYST MAN CY C,1094-6977,2.105,2.132,Artificial Intelligence,2010
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,2.122,1.672,Artificial Intelligence,2010
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,0167-9236,2.135,2.573,Artificial Intelligence,2010
ARTIFICIAL LIFE,ARTIF LIFE,1064-5462,2.143,1.762,Artificial Intelligence,2010
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,0169-7439,2.222,2.415,Artificial Intelligence,2010
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING,0168-7433,2.280,2.068,Artificial Intelligence,2010
NEURAL COMPUTATION,NEURAL COMPUT,0899-7667,2.290,2.949,Artificial Intelligence,2010
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,2.533,3.119,Artificial Intelligence,2010
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,2.534,2.838,Artificial Intelligence,2010
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,1541-1672,2.570,2.632,Artificial Intelligence,2010
IEEE TRANSACTIONS ON NEURAL NETWORKS,IEEE T NEURAL NETWOR,1045-9227,2.633,3.424,Artificial Intelligence,2010
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,2.652,4.314,Artificial Intelligence,2010
PATTERN RECOGNITION,PATTERN RECOGN,0031-3203,2.682,3.480,Artificial Intelligence,2010
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,2.695,3.760,Artificial Intelligence,2010
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,IEEE T SYST MAN CY B,1083-4419,2.699,3.274,Artificial Intelligence,2010
Journal of Web Semantics,J WEB SEMANT,1570-8268,2.789,3.593,Artificial Intelligence,2010
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,2.905,4.129,Artificial Intelligence,2010
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,2.918,4.205,Artificial Intelligence,2010
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,2.971,3.700,Artificial Intelligence,2010
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,1532-4435,2.974,4.967,Artificial Intelligence,2010
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,0219-6220,3.139,2.191,Artificial Intelligence,2010
International Journal of Neural Systems,INT J NEURAL SYST,0129-0657,4.237,2.581,Artificial Intelligence,2010
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,4.364,4.630,Artificial Intelligence,2010
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,4.403,5.432,Artificial Intelligence,2010
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,1936-4954,4.500,4.500,Artificial Intelligence,2010
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,5.151,6.986,Artificial Intelligence,2010
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,5.308,7.534,Artificial Intelligence,2010
