Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
COMPARATIVE EDUCATION,COMP EDUC,0305-0068,0.696,0.858,Education & Educational Research,2011
Science & Education,SCI EDUC-NETHERLANDS,0926-7220,0.702,Not Available,Education & Educational Research,2011
JOURNAL OF LITERACY RESEARCH,J LIT RES,1086-296X,0.714,1.086,Education & Educational Research,2011
JOURNAL OF ADOLESCENT & ADULT LITERACY,J ADOLESC ADULT LIT,1081-3004,0.728,0.723,Education & Educational Research,2011
HEALTH EDUCATION JOURNAL,HEALTH EDUC J,0017-8969,0.729,Not Available,Education & Educational Research,2011
RESEARCH IN THE TEACHING OF ENGLISH,RES TEACH ENGL,0034-527X,0.731,0.845,Education & Educational Research,2011
AMERICAN JOURNAL OF EDUCATION,AM J EDUC,0195-6744,0.744,1.159,Education & Educational Research,2011
Teachers and Teaching,TEACH TEACH,1354-0602,0.744,Not Available,Education & Educational Research,2011
EDUCATIONAL ADMINISTRATION QUARTERLY,EDUC ADMIN QUART,0013-161X,0.745,1.385,Education & Educational Research,2011
COMPARATIVE EDUCATION REVIEW,COMP EDUC REV,0010-4086,0.757,1.038,Education & Educational Research,2011
TEACHING IN HIGHER EDUCATION,TEACH HIGH EDUC,1356-2517,0.757,0.928,Education & Educational Research,2011
JOURNAL OF SOCIAL WORK EDUCATION,J SOC WORK EDUC,1043-7797,0.768,1.113,Education & Educational Research,2011
READING TEACHER,READ TEACH,0034-0561,0.770,0.878,Education & Educational Research,2011
Language and Education,LANG EDUC-UK,0950-0782,0.780,Not Available,Education & Educational Research,2011
TEACHERS COLLEGE RECORD,TEACH COLL REC,0161-4681,0.788,1.188,Education & Educational Research,2011
OXFORD REVIEW OF EDUCATION,OXFORD REV EDUC,0305-4985,0.791,0.917,Education & Educational Research,2011
INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL,INNOV EDUC TEACH INT,1470-3297,0.794,1.012,Education & Educational Research,2011
SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,SCH EFF SCH IMPROV,0924-3453,0.800,1.155,Education & Educational Research,2011
International Journal of Bilingual Education and Bilingualism,INT J BILING EDUC BI,1367-0050,0.809,Not Available,Education & Educational Research,2011
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1042-9670,0.810,1.054,Education & Educational Research,2011
IEEE Transactions on Learning Technologies,IEEE T LEARN TECHNOL,1939-1382,0.823,0.927,Education & Educational Research,2011
SPORT EDUCATION AND SOCIETY,SPORT EDUC SOC,1357-3322,0.824,1.099,Education & Educational Research,2011
Early Education and Development,EARLY EDUC DEV,1040-9289,0.838,Not Available,Education & Educational Research,2011
Assessment & Evaluation in Higher Education,ASSESS EVAL HIGH EDU,0260-2938,0.841,Not Available,Education & Educational Research,2011
Environmental Education Research,ENVIRON EDUC RES,1350-4622,0.847,Not Available,Education & Educational Research,2011
International Journal for Educational and Vocational Guidance,INT J EDUC VOCAT GUI,0251-2513,0.852,Not Available,Education & Educational Research,2011
Chemistry Education Research and Practice,CHEM EDUC RES PRACT,1109-4028,0.855,Not Available,Education & Educational Research,2011
Journal of Science Education and Technology,J SCI EDUC TECHNOL,1059-0145,0.865,Not Available,Education & Educational Research,2011
SYSTEM,SYSTEM,0346-251X,0.875,Not Available,Education & Educational Research,2011
Thinking Skills and Creativity,THINK SKILLS CREAT,1871-1871,0.875,Not Available,Education & Educational Research,2011
Higher Education Research & Development,HIGH EDUC RES DEV,0729-4360,0.901,Not Available,Education & Educational Research,2011
Physical Review Special Topics-Physics Education Research,PHYS REV SPEC TOP-PH,1554-9178,0.902,1.336,Education & Educational Research,2011
Computer Assisted Language Learning,COMPUT ASSIST LANG L,0958-8221,0.915,Not Available,Education & Educational Research,2011
Vocations and Learning,VOCAT LEARN,1874-785X,0.920,1.514,Education & Educational Research,2011
INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,INT J EDUC DEV,0738-0593,0.947,0.929,Education & Educational Research,2011
ReCALL,RECALL,0958-3440,0.950,Not Available,Education & Educational Research,2011
Turkish Online Journal of Educational Technology,TURK ONLINE J EDUC T,2146-7242,0.956,Not Available,Education & Educational Research,2011
Asia-Pacific Education Researcher,ASIA-PAC EDUC RES,0119-5646,0.958,Not Available,Education & Educational Research,2011
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,BRIT J SOCIOL EDUC,0142-5692,0.966,1.174,Education & Educational Research,2011
Metacognition and Learning,METACOGN LEARN,1556-1623,0.966,Not Available,Education & Educational Research,2011
TESOL QUARTERLY,TESOL QUART,0039-8322,0.969,1.349,Education & Educational Research,2011
JOURNAL OF CURRICULUM STUDIES,J CURRICULUM STUD,0022-0272,0.973,0.973,Education & Educational Research,2011
Distance Education,DISTANCE EDUC,0158-7919,0.974,Not Available,Education & Educational Research,2011
STUDIES IN HIGHER EDUCATION,STUD HIGH EDUC,0307-5079,0.982,1.749,Education & Educational Research,2011
Zeitschrift fur Erziehungswissenschaft,Z ERZIEHWISS,1434-663X,0.987,0.854,Education & Educational Research,2011
Journal of Studies in International Education,J STUD INT EDUC,1028-3153,1.000,Not Available,Education & Educational Research,2011
Learning Media and Technology,LEARN MEDIA TECHNOL,1743-9884,1.000,Not Available,Education & Educational Research,2011
EDUCATIONAL TECHNOLOGY & SOCIETY,EDUC TECHNOL SOC,1436-4522,1.011,1.210,Education & Educational Research,2011
Internet and Higher Education,INTERNET HIGH EDUC,1096-7516,1.015,Not Available,Education & Educational Research,2011
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,J TEACH PHYS EDUC,0273-5024,1.021,1.414,Education & Educational Research,2011
JOURNAL OF EDUCATIONAL RESEARCH,J EDUC RES,0022-0671,1.055,1.486,Education & Educational Research,2011
HIGHER EDUCATION,HIGH EDUC,0018-1560,1.061,1.307,Education & Educational Research,2011
ECONOMICS OF EDUCATION REVIEW,ECON EDUC REV,0272-7757,1.069,1.443,Education & Educational Research,2011
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,J EDUC BEHAV STAT,1076-9986,1.074,2.436,Education & Educational Research,2011
ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,ETR&D-EDUC TECH RES,1042-1629,1.085,1.653,Education & Educational Research,2011
JOURNAL OF EXPERIMENTAL EDUCATION,J EXP EDUC,0022-0973,1.088,1.642,Education & Educational Research,2011
